brocartID	oeuvreID	typeOfBrocade	typeOfEngraving	localisation	theme	glaçureCouleur	aDorure	coucheColorée	couchePréparation	orientation	formePlaque	nbrePlaques	largeurPlaque	hauteurPlaque	imageID	auteur	description	image
A.1	1	3	8	13	2	Rouge	Oui			2	6							
A.1			5															
A.1			13															
A.1			12															
A.2	1	4	4	7	3	Rouge	Oui	Rouge	2	2								
A.3	1	4	4	7	3	Rouge	Oui	Rouge	2	2								
A.4	1	4	4	7	3	Rouge	Oui	Rouge	2	2								
A.4	1									3								
A.5	1	4	4	7	3	Rouge	Oui	Rouge	2	2								
A.6	1	4	4	7	3	Rouge	Oui	Rouge	2	2								
A.6	1									3								
A.7	1	4	4	7	3	Rouge	Oui	Rouge	2	3								
A.8	1	4	4	7	3	Rouge	Oui	Rouge	2	3								
A.9	1	4	4	7	3	Rouge	Oui	Rouge	2	3	7	12	8	7				
A.10	1	4	4	7	3	Rouge	Oui	Rouge	2	4								
A.11	1	4	4	7	3	Rouge	Oui	Rouge	2	4								
A.12	1	4	4	7	3	Rouge	Oui	Rouge	2	4								
A.13	1	4	4	7	3	Rouge	Oui	Rouge	2	4								
B.1	2	3	9	9	2		Oui											
B.1			3															
B.1			7															
B.1			13															
B.1			12															
B.2	2	4	4	6	3		Oui											
B.3	2	4	4	6	3		Oui											
B.4	2	4	4	6	3		Oui											
B.5	2	4	4	6	3		Oui											
B.6	2	4	4	6	3		Oui											
B.7	2	4	4	6	3		Oui											
B.8	2	4	4	6	3		Oui											
B.9	2	4	4	6	3		Oui											
B.10	2	4	4	6	3		Oui											
B.11	2	4	4	6	3		Oui											
B.12	2	4	4	6	3		Oui											
C1	3	3	8	8	2		Oui											
C1			5	5														
C1			3															
C1			13															
C1			12															
C2	3	4	4	6	5													
C3	3	4	4	6	5													
C4	3	4	4	6	5													
D.1.1	4	4																
D.1.2	4	4																
D.1.3	4	4																
D.1.4	4	4																
D.1.5	4	4																
D.1.6	4	4																
D.1.7	4	4																
D.1.8	4	4																
D.1.9	4	4																
D.2	4	3																
D.3	4	3																
E.1	5	3																
E.2	5	4																
E.3	5	4																
E.4	5	4																
E.5	5	4																
E.6	5	3																
E.7	5	4																
E.8	5	4																
E.9	5	4																
E.10	5	4																
E.11	5	3																
E.12	5	4																
E.11.1	5	3																
E.14	5	4																
E.15	5	4																
