className	classLabel	conceptBaseName	conceptID	prefLabelFr	prefLabelEn	broaderConceptID	definition
Localisation	Localisation						Localisation du brocard sur l'oeuvre
Localisation		localisation	1	Localisation			Localisation du brocard sur l'oeuvre
Localisation		localisation	2	Fond de décors		1	
Localisation		localisation	3	Tenture/Fond		1	
Localisation		localisation	4	Vêtement médiéval		1	
Localisation		localisation	5	Cotte-Hardie		4	
Localisation		localisation	6	Manteau		4	
Localisation		localisation	7	Chape		6	
Localisation		localisation	8	Pourpoint		4	
Localisation		localisation	9	Robe		4	
Localisation		localisation	10	Houppelande		9	
Localisation		localisation	11	Tunique		4	
Localisation		localisation	12	Cotte		11	
Localisation		localisation	13	Dalmatique		11	
Localisation		localisation	14	Dalmatique haut		13	
Localisation		localisation	15	Dalmatique bas		13	
Localisation		localisation	16	Chape (arrière genou à senestre) 		7	
Localisation		localisation	17	Manteau revers		6	
Localisation		localisation	18	Sous la manche		1	
Localisation		localisation	19	Manteau (vierge)		6	
Localisation		localisation	20	Manteau (Marie Madeleine)		6	
Localisation		localisation	21	Robe (Marie Madeleine)		9	
Localisation		localisation	22	Tunique (saint Jean)		11	
Localisation		localisation	23	Maximien		1	
